Miestones,From,To,Frontend Modules Covered ,Admin Modules Covered 
MVP,,,,
Milestone-1,,15 July 2021,"1. Onboarding ProcessSplash Screen
2. Signup/Login
3. OTP authentication<< For login & sign Up
4. Complete registration by providing additional information

5Channels
Create a Channel
Publish a Channel
My Channel
Search a Channel
Channel Listing
Channel Detail
Edit channell
Subscribe to paid channel
Subscribe to free channel
share Channel

6. Payment Gateway Integration will not done on this milestone.

7.Landing page UI
8.Menu

9. Wireframes
Admin Wireframes 
Web Platform Wireframes 
App Wireframes Finalization
Clickable Prototypes

10. 3rd Party Services Finalization:
AI Team and Avataus would be mutually finalizing all the 3rd parties within the Milestone-1 so that we are clear to proceed with the implementations for the rest of the integrations.","Dashboard
User Management
Channel Management "
Milestone-2,13 October 2021,10 November 2021,"Introductory Video
Thea Introductory Phase: We will add our own video, we'll create a video from synthesia and put that video to achive this feature for now.

Create Post Flow (Without facemask and Filters)
: Upload video without unreal engine or AR(still we are looking into the solution which way we have to go?)
: Select domes 
: Tag people 
: Tag content (Explanation)
: accesibility 
: Preview 

Create post on channels
Shop
Shop Feed
Hat collection (Customizations and Configurations Provided by Avatar SDK Provider)
Channels (Related to Shop)
Shop Menu
Buy Now (UI)
My Wishlist
My Purchases
Payment Gateway Integration will not done on this milestone.

Unreal engine research and solution
Thea Research custome or with SDK
","My Profile
Category Management
Sub-Category Management"
Milestone-3,12 November 2021,14 January 2022,"Create Post with (AR)
Demonstration of Avatar Creation
New Identity Creation.
Solutiong of Demonstation for Thea SDK integration (Still need to decide)**
It won't be fully functional in this milestone.
Profile-- No Avatar model and will be adding static model.

Implmentation of Agora and Banuba 
Explore        
Search
        Domes Detail Page(Moved to next milestone because designs are not available).
        Recommendation/Trending
Shop     (Events static and everything which could be 
completed needs to be functional)   

Shop Feed
        Payment integration(Dependency on Tilia)
        My Payments
        Payment Search
        Payment Filter
        Rate & Review
        Share
        My wallet
    My Wishlist
    My Purchases

Avait coins purchase(In app purchase): Discussion Client 
Newsfeed Listing (Landing page, website) --- finalization
Coming soon page.


Payments of Channels","E-commerce/Purchase Management
 Content Management
 Reported User Management
 Rewards Point Management
 Commission Mangement (dependency on Tilia)
 Role management"
Milestone-4,16 January 2022,15 March 2022,"

(Moved from milestone 3, due to dependency on Morteza)
Avatar Creation
New Identity Creation.(Dependent on Morteza)
Thea SDK integration (Still need to decide)
Thea Integration Video
Domes Detail Page: 

Go Live
Create Live
Global Live
Top Dome
Watch Live 
Search a Live Stream
Share a Live Stream

Create Post with (AR)  
Edit post 
Subscriptions on web and app management.


Search
Chat Messages (text messages only)
Settings        
        Support
        Payment Setting
        About
        Lock your profile
        Rate the Application
        Blocked Account
        Security Settings
        Active Users
        Notification Setting
        Theme-TBD
        Deactivate Account
        Contact Us
        Application Version
        FAQ
        Logout""
        Accessibility & Subscription under settings","Live Stream Management
Version Management
Feedback Management
Notifications
Report Management:  
Payment history"
Milestone-5,21 March 2022,5 May 2022,"Shop:
Service Listing
Search
Browse Service
Market place
Filter
Service Detail Page
Service Provider Profile Detail
My coupons
Refund
My wallet

Premium membership management in application and web 
Tag User
Messages
Business Message
Investment Message
Group Message
Private Group Live Stream
Video message
images in messages

Live Events
Schedule Live Events
Cancel/Edit a Live Stream
Subscribe for join live event
Private live
Live Events with AR Feature 
Leader board
Commenting on Live straming

LANDING PAGE
Notification management 
KYC
Coin management  (Complete)","Payment Mnagement
Reminder Emails
Support Management
Coin Activity Management
"
MVP Completion,,,,
Milestone-6,7 May 2022,21 June 2022,"Menu
Saved Feeds
Create Folders
Edit Folder
Delete Folder

Promotion (Will be shifted to next milestone)
Create Promotion
View Insights
Edit Promotion Budget
Stop Promotion
Promote Again
Complete Promotion

Edit profile

Video Call
Search
Individual Call
Group Call

Thea Chatbot Implementation",Promotion & Adverstising
Milestone-7,23 June 2022,7 August 2022,"Campaign Creator        
        Create a Campaign
        Preview the Campaign
        Accept Terms & Condition
        Publish Campaign
        Deactivate Campaign
        Auto Refund
        Search
        My Campaigns & Investments
        Campaign Detail
        Share a Campaign
Investors        
        Auto Refund
        Search
        My Campaigns & Investment
        Campaign Listing
        Campaign Detail
        Fund a Campaign without a reward
        Fund a Campaign with a reward
        Favourite/Save Campaign
        Share a Campaign
        Like/Dislike a Campaign
        Rating & Reviews

=> Virtual Gift Implementatipn start
Reactions 

Shop:
Service Listing
Search
Browse Service
Filter
Service Detail Page
Service Provider Profile Detail
My coupons
Refund
My wallet","Campaign Management
Master Condition Management"
Milestone-8,9 August 2022,23 September 2022,"Service Provider        
        Create a Service Provider        
        My Services        
        Purchase Management        
        Payment Management        
        Rating & Reviews        
        Analytics        
        Advertisements        
                Become a Brand
                Acceptance to Become a Brand
                Rejection of the Request to Become a Brand
                Create Service Promotions
                Create an Ad Post
                View Insights
                Edit Promotion Budget
                Stop Promotion
                Promote Again
                Complete Promotion
        Refund        

LeaderBoard


=> Virtual Gift Implementatipn completion","Service Provider Management
Seller/Brand Management
Subscription Plan Management
Subscribed User Management
"
Milestone-9,120 Days ,,UAT & Support ,
,,,,
Design Process Notes:,"Milestone-1: Within the Milestone-1, We would initiating the design with respect to M1 and we will complete it within it and then we will move on M2 designs while executing the M1 Designs.
furether Milestones: Our Target would be complete the designs of the respective Milestones before it is getting started. ",,,