TRD Ref,Requirement,Your Response,Assumptions,Status
Frontend ,,,,
FR-001,Framework: React Native 0.76+ with New Architecture + TS 5.6+,"Delivered with RN 0.76+, Fabric + TurboModules enabled, strict TypeScript 5.6+",Client confirms RN 0.76+ baseline,Comply
FR-002,"Video capture: 1080p, compression 30–50MB, trimming/retake, resumable uploads",`react-native-vision-camera` + `ffmpeg-kit`. Compression tuned to 3–5 Mbps. Resumable uploads via WorkManager (Android) + URLSession (iOS) with S3 multipart,Client provides storage infra (S3/GCP/Azure),Comply
FR-003,"Payments: Stripe SDK, Apple Pay, Google Pay, Connect marketplace (15% platform commission)","Stripe RN SDK, Platform Pay APIs, Connect split flows with 15% fee; payouts automated via Stripe Connect",Apple Pay Merchant ID & Stripe Connect account setup by client,"Partial Comply
as subscriptions are not in MVP"
FR-004,"Location & Navigation (GPS, geofencing, maps, deep-links)","CoreLocation/FusedLocation, geofencing ≤250m iOS/≤300m Android. Embedded map with Mapbox/Google. Deep-linking to Apple Maps/Google Maps/Waze supported",Target region + mapping provider licensing confirmed,Comply
FR-005,Secure Storage,"iOS Keychain/Android Keystore for secrets, SQLCipher/WatermelonDB for offline data",No unencrypted PHI stored locally,Comply
FR-006,Push Notifications,APNs/FCM with action buttons; no PHI in payloads; silent pushes trigger secure fetch,Certificates/keys provided by client,Comply
FR-007,Offline mode,Encrypted local cache; conflict-safe sync; explicit “Available Offline” badge,Merge rules defined; PHI never in plaintext,"Partially Compliant, 
Not in MVP Cost, but Proposed as Optional cost"
FR-008,Specialist profile management,"Support for photos, credentials, availability, earnings, history",Client supplies credential verification APIs,Comply
FR-009,HIPAA-compliant messaging,"Signal protocol E2EE, AES-GCM encrypted file shares, read receipts, 90-day auto-delete, immutable audit logs","Clarify group vs 1:1 chat, max file size",Comply
FR-010,"Practice web dashboard (Next.js 15 + React 19, Zustand, Recharts, Tailwind v4)","Next.js 15 + RSC, Zustand, Recharts, Tailwind v4. Turbopack for performance",Client confirms infra,Comply
FR-011,Admin dashboard,"Features: credentialing, payments, disputes, analytics, content mgmt. RBAC enforced",Define RBAC rules with client,Comply
Performance,,,,
PERF-001,App launch ≤1.8s iOS / ≤2.2s Android,"Hermes precompilation, code-split, inline requires, lazy-load media",Benchmark on real devices,"Partially Comply, 

This totally depend on the Libraries and sdk we used in the App, to be further discussed in discovery phase."
PERF-002,60fps UI (120fps ProMotion),"Assuming to give the support on following devices

iOS (120Hz ProMotion – target 120fps)
iPhone: 13 Pro, 13 Pro Max, 14 Pro, 14 Pro Max, 15 Pro, 15 Pro Max, 16 Pro, 16 Pro Max
iPad Pro (all models 2017 or later): 10.5"" (2017), 12.9"" (2nd gen, 2017) and newer, 11"" (all gens, incl. M2/M4)
iOS (60Hz – target 60fps)
iPhone: 12 / 12 Mini / 13 / 14 / 15 / 16 (non-Pro variants)
iPad Air / iPad / iPad mini (current and recent gens)
Android (120Hz or higher – target 120fps)
Google Pixel: 6 Pro, 7 Pro, 8, 8 Pro, 9, 9 Pro
Samsung Galaxy S-series: S20/S21/S22/S23/S24 (incl. + / Ultra)
OnePlus: 8T, 9/9 Pro, 10/10 Pro, 11, 12
Nothing Phone: (1), (2), (2a)
Xiaomi/Redmi/Poco (select 120Hz models): e.g., Mi 11/12/13/14 series, Poco F3/F4/F5",We will test the Animations on devices ,Partially Comply
PERF-003,API response ≤200ms p95,API Gateway + Redis cache + selective fields; SLO tracked,Dependent on infra region setup,Comply
PERF-004,App size ≤80MB,"Current React Native app with required native modules (VisionCamera, FFmpeg, Stripe, Maps, E2EE messaging) realistically exceeds 80MB, especially after including 64-bit binaries for iOS/Android. We will optimize (ABI splits, App Thinning, lazy-loaded libs)",Client to accept that 80MB target is not technically feasible with current TRD scope,DO Not  Comply
PERF-005,Accessibility WCAG 2.2 AA,"Semantic roles, VoiceOver/TalkBack, dynamic text",Requires UAT testing by client,"Do not Comply in MVP, 
Proposed as Optional cost, although to be discussed at length in discovery phase"
Security ,,,,
SEC-001,"PHI encryption (AES-256 rest, TLS 1.3 transit)","AES-256 DB & storage encryption, TLS 1.3 everywhere. Backend uses PostgreSQL encryption extensions for at-rest PHI protection, AWS KMS for centralized key management with automatic rotation every 90 days, and enforces end-to-end encryption for all data exchanges involving PHI, including field-level encryption for highly sensitive elements like patient records.",Client provides HIPAA BAA cloud infra and confirms key management policies for rotation and access controls,Comply
SEC-002,Session timeout: 15 minutes,"Auto logout after inactivity, token rotation. Backend handles JWT expiration and refresh with access tokens expiring in ≤30 minutes and refresh tokens in 24 hours, including automatic session invalidation on suspicious activity detection and integration with device attestation for secure re-authentication flows.",Confirm UX flow for re-auth and client provides guidelines for session management in multi-device scenarios,Comply
SEC-003,Cert pinning,"NSURLSession + OkHttp CertificatePinner. Backend supports dynamic pin rotation and fallback mechanisms to prevent service disruptions while maintaining protection against MITM attacks, with automated alerts on pin validation failures.",Pin rotation plan required; client provides certificate management tools and schedules for quarterly updates,Comply
SEC-004,"Jailbreak/root detection, RASP, screenshot prevention","RASP + FLAG_SECURE + snapshot blur, screenshot block on sensitive screens. Backend supports instant credential revocation upon detection via API calls, including anomaly detection for rooted devices and integration with fraud prevention services to block unauthorized access attempts.",OS screenshot fully preventable only partially; client confirms integration with enterprise device management for MDM policies,Partial Comply
SEC-005,Audit logging + SIEM integration,"Append-only audit logs of PHI access + messaging, shipped to SIEM. Backend uses Winston for structured logging with comprehensive PHI interaction trails (e.g., who, what, when for all reads/writes), integrates with CloudWatch for real-time monitoring, alerting on compliance violations, and exports to SIEM for centralized analysis and regulatory reporting.",SIEM vendor BAA required; client provides SIEM endpoint details and audit retention policy (minimum 6 years per HIPAA),Comply
SEC-006,HIPAA BAA compliance,"Covered entities: AWS, DB, infra vendors with signed BAA. Stripe excluded from PHI. Backend enforces data minimization principles, role-based access control (RBAC) with least-privilege enforcement, and regular vulnerability scanning to ensure ongoing compliance, including automated reports for administrative safeguards like workforce training tracking.",Client signs BAAs for all vendors and conducts annual HIPAA risk assessments with shared results for joint review,Comply
Backend ,,,,
BE-001,Backend runtime,"Node.js 24 LTS + Fastify v5.6, Prisma v6.16. Supports ES2024 features, async-optimized operations for high-throughput APIs, Zod v3 for runtime validation.",Client provides environment variables for production secrets and confirms strict TypeScript mode for all backend code,Comply
BE-002,Databases,"PostgreSQL 18 (Multi-AZ), Redis 8.2, Elasticsearch 9.1. Includes PgBouncer for efficient connection pooling, read replicas for query optimization in high-read scenarios like specialist search, automated daily encrypted backups with point-in-time recovery, and HIPAA-compliant indexing for PHI queries with access logging.",AWS HIPAA-eligible services; client confirms database schema during discovery and provides data migration tools if needed for initial seeding,Comply
BE-003,Infra,"AWS ECS Fargate, S3 + CloudFront, BullMQ v5, CloudWatch. VPC with public/private subnets for security segmentation, auto-scaling groups based on CPU/memory metrics (scaling from 2-50 instances), WAF for DDoS/threat protection, and blue-green deployments for zero-downtime updates, all configured for 99.9% uptime SLA.",HIPAA BAA signed; client provides AWS account access for setup and approves scaling thresholds based on projected number of users,Comply
BE-004,CI/CD,"Blue/green deploys, rollback, security scans. Uses GitLab for CI with automated testing/linting on every commit, ArgoCD for CD orchestration, integrated dependency vulnerability scanning (e.g., via Snyk or any other good available tool), and feature flags for controlled rollouts, ensuring HIPAA-compliant code promotion with audit trails for all changes.",Access to client repo; client confirms branch protection rules and provides staging/prod environment credentials,Comply
BE-005,Monitoring,"App monitoring + alerting; dashboards. Integrates Prometheus/Grafana for custom metrics, CloudWatch for infrastructure logs/alerts, CloudTrail for audit trails of all API actions, and proactive anomaly detection for security events like unusual PHI access patterns.","Client confirms SIEM tool integration and provides thresholds for alerting (e.g., error rates >5%)",Comply
Integration ,,,,
INTEG-001,"PMS integrations (Dentrix, Eaglesoft, Open Dental)","Real-time bidirectional sync, retries, error handling",Sandbox access to PMS APIs provided,Comply
INTEG-002,Notifications,Twilio/SendGrid for SMS/email,HIPAA BAA required for SendGrid,Comply
INTEG-003,Credential verification APIs,Integrated per client-approved vendor,Vendor BAA required,Comply
QA,,,,
QA-001,Unit tests ≥90%,Partial Comply. Practical launch target is 75–80% overall,Coverage tools shared with client,Partial
QA-002,Integration tests,Automated across APIs,Staging infra required,Comply
QA-003,End-to-end booking/payments/messaging/PMS,Cypress/Playwright + mocked PMS/Stripe,—,Comply
QA-004,"Load testing (≥1,000 users)","k6/Locust, autoscaling enabled",Test environment load-balanced,Comply
QA-005,Device matrix testing,"iPhone 12–15, Pixel 6/7, Samsung A/S series",Devices provided via BrowserStack/Lambdatest,Comply
QA-006,Accessibility validation,dark mode tests,Final validation with client,Comply
Plan,,,,
PLAN-001,Project plan,Sprint-by-sprint mapping to TRD,"Discovery phase locked, no core deferrals",Comply
PLAN-002,Acceptable deferrals,"Siri Shortcuts, Live Activities, Dynamic Island",Post-launch only,Not Comply in MVP
COMM-001,Commercials & support,"Milestone cost breakdown, change requests, 60-day warranty",Client approves change process,Comply