Bug Id.,Bug Summary,Screen Name,Severity,QA Status,Dev Status,Assigned To
ET - 001,The program --> gallery --> advertising --> images are getting cut ,Program - Advertising,Medium,Open,Fix,
ET - 002,Left panel --> the program --> selected tab about the start up award --> swipe the screen from left to right --> THE GALLERY tab gets selected --> should not get selected,The Program,Low,Open,Fix,
ET - 003,The program --> the gallery --> Start up award chatroom -->select the second image --> click next arrow --> when the last image is open --> the next arrow should not be displayed (same in the case of first image ),The Program (start up award chatroom),Low,Open,Fix,
ET - 004,Home --> share button --> twitter / facebook--> enter text --> post --> layout changes to potrait for a second and then landscape mode ,Home ,Medium,Open,fixing,
ET - 005,Home --> share button --> tap on the back ground screen --> application opens in potrait mode for a second,Home ,Medium,Open,fixing,
ET - 006,The jury --> kunal bahl --> mention ceo snapdeal ,The jury,Low,Open,fix,
ET - 007,Our partner --> Presenting sponsor --> Laying the foundation of the future --> bullets are misplaced,Our partner,Low,Open,fix,
ET - 008,"Faq --> 3rd,5th, question --> the answer isnt complete ",Faq,Medium,Open,fix,
ET - 009,Faq --> what is the timeline for the economic times startup awards --> wrong answer (all the questions following this question have been asnwered wrongly),Faq,High,Open,fix,
ET - 010,Guidelines screen --> guildelines is misspelled in the header,Guidelines,High,Open,fix,
ET - 011,Guidelines screen --> guidelines to fill the application --> point 2 --> terms and condition should be clickable and should navigate to terms and conditions screen ,Guidelines,Medium,Open,fixing,
ET - 012,"guidelines --> guidelines to fill the application -->  3rd point --> a ) spelling of application (first word) , h) contact spelling",Guidelines,Low,Open,fix,
ET - 013,"guidelines --> 4th point not complete . ""form"" word missing in the end of the sentence.",Guidelines,Low,Open,fix,
ET - 014,Contact --> mail is not getting sent,Contact,Low,Open,fixing,
ET - 015,Comeback kid --> ritesh agarwal -> last line of the text incomplete,Nominee - about the company,Medium,Open,,
ET - 016,Women ahead --> anjana reddy and richa kar profiles interchanged,,,,,