Date,Description,Hours
2023/05/04,POC on Image ,5
2023/05/05,POC,5
2023/05/08,POC,5
2023/05/09,Tour map zoom in and zoom out feature,5
2023/05/10,Tour map zoom in and zoom out feature,6
2023/05/11,Teams page annimation,5
2023/05/15,Integrate Mint Page and also have woked on adding headers for mint tour map and teams page,8
2023/05/16,"Worked on adding fotter i.e media player in teams and mint page.
Wokred on deployement / deploy everything on server
Fix Tour Map Image is not set",5
2023/05/17,"Wroked on Tour Mpa issues
Fixed all the design issues share by Client
i.e 
1. Team page UI is not same card size is very big please see the difference
2. Mint page mobile screen is not same ",8
2023/05/18,"Worked on Team and conditions page
",3
2023/05/19,"1. Worked on integrating Team and conditions page.
2. Change content for term and conditions page.
3. Fixed Mobile view error in menu bar.
4. Fixed mobile view of tems page",8
2023/05/22,Worked on Manga page.,8
2023/05/23,"1.Fixed Media player placed in the bottom was incorrect
2. Checked Scroll Bar on home and story page.
3. Fixed Teams Page animation does not look good 
4. Completed Manga Page Integration.

",6
2023/05/24,"1. Worked on Mobile View Annimation Stop for Teams page
2. Fixed book flip dependency error so that it can be deployed to server",5
2023/05/25,"1. In term and condition page, term and condition header should also scroll (Done) 
2. Manga screen please add images those I have send with cover image Link: ( Done )
3. Manga screen first time opening has the glitch (Done)
4. Please remove the wooden background in manga  (Done)
5. Add links on teams page  (Done)
6. Before opening the Managa first page it should be in the middle of the screen  (Done)",8
2023/05/26,"1. Reduce the button width & Added More button functionality in Menu
2. Change Ter and Condition title to “T&C”
3. Change T&C content to below contant",5
2023/06/12,Worked on TourMap,8
2023/06/13,Worked on TourMap,8
2023/06/14,Worked on TourMap,8
2023/06/15,Worked on TourMap,8
2023/06/16,Completed tour map and deployed to the server,8
2023/06/20,Worked on Tour map full screen issue,8
2023/06/21,Worked on Tour map full screen issue,8
2023/06/22,Completed and deployed Tour map full screen issue ,8