Persona,Module,Features,
Client,Onboarding,Splash Screens,2-3 tutorial screens
,,Login ,"1. Mobile and OTP
2. Email and OTP"
,,Sign Up,"1. First Name
2. Last Name
3. Email
4. Phone Number
"
,,Baby Profile,"1. Baby Name
2. Baby DoB or due date
3. Gender
4. Relationship with Baby - Mother, Father, Other
5. Questionnaire"
Client,Bottom Navigation,"

1. Home
2. Journal 
3. Coach
4. View
5. Learn

",No further redirection only main screen
Client,DashBoard,"1. My Profile 
2. Notifications 
3. My Child Section
4. My Sleep Progress
",No further redirection only main screen
Client,Journal,Calendar,"1. Monthly, Weekly, Daily
2. Open- Closed View of Calendar
         "
,,Add Event,"1. Date
2. Time 
3. Title 
4. Description"
,,,
Coach,Onboarding,Splash Screens,2-3 tutorial screens
,,Login ,Email & Password
Coach,,Sign Up,"1. First Name
2. Last Name
3. Email
4. Phone Number"
,,Complete Profile,"1. Certifications
2. About 
3. Professional Highlights 
4. Total experience
5. Coaching Preference"
Coach,Bottom Navigation,"

1. Home
2. Clients
3. Chat
4. Calendar/Event

",No further redirection only main screen
Coach,DashBoard,"1. Profile 
2. Notifications 
3. Client Profiles
4. ",No further redirection only main screen
Coach,Client ,"1. Daily Progress
2. Journal Details
3. Chat
4. Basic Profile",No further redirection only main screen
,,,
Admin,Login ,"Mobile and OTP
Email and OTP",
Admin,DashBoard,"Side Menu Navigation
Profile 
Notifications",
Admin,Side Menu Navigation,"Dashboard
Client Management
Coach Management
Question Management
Notification Management
Content Management
",