Milestone,Module,Sub-Module,Query,Discussed with,Raised on (Date),Blocker (Yes/No),Query Status,Solution,
Milestone 1,Add Orders,Pickup Only & Deliver Only (Step 3 quotation) ,"1. In Pickup only and delivery only we are not getting quotes details from the API 
2. We are not getting destination information or origin information so unable to fetch quotes. As we make delivery/orgin mandatory to show forecast quotes  ",Vishwanath,30 July,,Closed,5:00,
Milestone 1,Add Orders,,"1. Which Model type do we need to send in below: 

a) Pickup Only
b) Deliver Only
c) Pickup and Delivery
d) Return",Paras,1 August,,Closed,"This is discussed in the client meet that we are getting FMLM only because of same serviceability region, region decides whether it is a FM, LM and ALLMILE order, regarding Return its pending for comfirmation from Supriya's end, as per them the orders they were creating are Return orders but actually they are reverse, need to understand thi flow","""1. Which Model type do we need to send in below: 

a) Pickup Only   : Done
b) Deliver Only   : Done
c) Pickup and Delivery : Done
d) Return. : Discussion done but implementation pending from BE"
Milestone 1,Design ,Design ,Designs are changing very frequently etc. Margin padding and all different on different different screens.  ,,,,Closed,Maanvi: As discussed with Aditya this was and initial problem but did not face this issue later,
,Order Listing,Advanced Filters,"1. Mark filter as favourite action button is missing in Figma
2. Edit button for advacned filter is missing if edit functionality is required. and same is missing in PRD",Pradyuman,4 August,No,Closed,"Maanvi: As there were multiple discussions on this on 8th and 16th Aug when compared to Dispatcher Web App functionality/behaviour, have decided to comeup with a combine solution. Will provide this design by 18th Aug Pradyumna Bapat

Pradyumna: This query has been resolved.",How to remove applied filter and reset filter is still missing
Milestone 1,Order Listing,Order Listing,"Missing Keys

Pickup details:

Order Type: need confirmation about key
Order Status : Need confirmation about key
Delay or arriving early


Order Value:
Total order value is missing
Item details is missing

Service Type:

Estimated cost
Revised cost

Delivery ETA:

Estimated and revised time keys

Pickup ETA:

Estimated and revised time


Delivery type has to be array as we are selecting multiple skill set,Done


Pickup Requested for is missing for draft case

Shipping cost is missing for draft case","Item Details Done,Order Type Done,Order Status Partially Done,",7 Aug 2023,,"Vishwanath wanted us to confirm this with Supriya like acording to her what is the definition of EST and Actual, a little hint estimated would be the endtimewindow at the time of booking creation while Actual would be the time after trip and delivery.",,
Milestone 1,order Listing,Order Listing,"1. How we will differentiate field to check if it is of type currency or distance or weight in order listing
2. In case of draft tab, we have different columns, how we can render different columns for this as we have single structure for order listing",Supriya,,,,"1. For currency fields, we need to manage from frontend. we can define these fields and format it accordingly

",For second point. we need to connect with vishwanath
,create order,,FM/LM,Paras,"Done, Paras will explain",,Closed,"This is discussed in the client meet that we are getting FMLM only because of same serviceability region, region decides whether it is a FM, LM and ALLMILE order",
,Returnd allowed discussion,Add order ,it will be reverse or returnded.,Supriya,10th August,,Pending,"This is discussed in the client meet that we are getting FMLM only because of same serviceability region, region decides whether it is a FM, LM and ALLMILE order, regarding Return its pending for comfirmation from Supriya's end, as per them the orders they were creating are Return orders but actually they are reverse, need to understand thi flow",
Milestone 1,Add oder,,Timezone for countries having multiple timezones,Supriya,29th August,,,,
Milestone 1,Order Details,,Pickup detail and delivery detail-map view.,Supriya,29th August,,,,
Milestone 1,Order Listing,Filter,Separation of booking status and order status.,Supriya,29th August,,,,
Milestone 1,Order Listing,,"Booking status or order status, what we need to show ",Supriya,29th August,,,,