Date,Time,Market Cypher ,MACD,Result. ,
September,,,,,
5 September,2:30,YES,YES,TRUE,
7 September,16:30,YES,NO,FALSE,
8 September,14:30,YES,NO,TRUE,
10 September,22:30,YES,NO,FALSE,
11 September,5:30,YES,YES,TRUE,
13 September,15:30,YES,YES,TRUE,
13 September,22:30,YES,YES,TRUE,
17 September,,,,FALSE,
18 September,1:30,YES,YES,TRUE,
20 September,,,,FALSE,
21 September,7:30,YES,YES,TRUE,
22 September,5:30,YES,YES,TRUE,
24 September,18:30,YES,NO,TRUE,
26 September,14:30,YES,YES,TRUE,
28 September,14:30,YES,,FALSE,
28 September,23:30,YES,YES,TRUE,
,,,,,
,,,,,6
October,,,,,
4 October,18:30,YES,NO,FALSE,
4 October,22:30,YES,YES,TRUE,
6 October,17:30,YES,YES,TRUE,
10 October,9:30,YES,YES,FALSE,
11 October,7:30,YES,YES,TRUE,
12 October,18:30,YES,YES,FALSE,
18 October,15:30,YES,YES,FALSE,
19 October,1:30,YES,YES,TRUE,
23 October,12:30,YES,YES,TRUE,
25 October,0:30,YES,NO,TRUE,
28 October,6:30,YES,YES,TRUE,
30 October,20:30,YES,YES delay,TRUE,
31 October,19:30,YES,YES delay,TRUE,5
November,,,,,
4 November,17:30,YES,NO,FALSE,
5 November,0:30,YES,YES,FALSE,
6 November,19:30,YES,YES,TRUE,
10 November,7:30,YES,NO,FALSE,
10 November,11:30,YES,YES,TRUE,
12 November,10:30,YES,NO,TRUE,
16 November,11:30,YES,NO,FALSE,
17 November,11:30,YES,YES,TRUE,
22 November,10:30,YES,YES,TRUE,
23 November,4:30,YES,YES,TRUE,
26 November,6:30,YES,YES,TRUE,
,,,,,3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
December,,,,,
2 December,6:30,YES,NO,FALSE,
,19:30,YES,YES,FALSE,
3 December,9:30,YES,YES,FALSE,
6 December,9:30,YES,NO(YES Delay),TRUE,
10 December,1:30,YES,NO(YES Delay),FALSE,
,14:30,YES,YES,FALSE,
11 December,7:30,YES,YES,TRUE,
14 December,3:30:00 AM,YES,YES,TRUE,
,13:30,YES,YES,TRUE,
15 December,23:30,YES,YES,TRUE,
17 December,7:30,YES,,TRUE,
,20:30,YES,NO,TRUE,
20 December,16:30,YES,NO,TRUE,
23 December,15:30,YES,YES,TRUE,
23 December,6:30,YES,NO,TRUE,
25 December,11:30,YES,NO,FALSE,1
28 December,11:30,YES,NO,FALSE,
29 December,1:30,YES,NO,FALSE,
,,,,,
January,,,,,
1 January,3:30,Yes but not touching the bottom line,Yes,TRUE,
4 January,9:30,YES,YES but in delays,TRUE,
6 January,5:30,YES,NO ,FALSE,cashflow low 
6 January,16:30,YES,YES,FALSE,cashflow low 
7 January,22:30,YES,YES,FALSE,
9 January,9:30,YES,YES,TRUE,
10 January,21:30,YES,YES delay,TRUE,
14 January,6:30,YES,YES delay,TRUE,
16 January,11:30,Yes but not touching the bottom line,NO ,FALSE,
17 January,12:30,YES,NO ,FALSE,
18 January,23:30,YES,YES,TRUE,
19 January,15:30,YES,YES,TRUE,
22 January,17:30,YES,NO ,FALSE,cashflow low 
24 January,19:30,YES,YES,TRUE,
27 January,11:30,Yes but not touching the bottom line,NO ,TRUE,
31 January,10:30,YES,NO ,TRUE,
,,,,,7
February,,,,,
1 February,14:30,Yes,NO,False ,
,,,,,
,,,,,
2 February,,,,,
3 February,,,,,
4 February,14:30,Yes,Yes,TRUE,
5 February,,,,,
6 February,,,,,
7 February,,,,,
8 February,,,,,
9 February,1:30,Yes,NO,TRUE,
,11:30,Yes,Yes,TRUE,
10 February,,,,,
11 February,19:30,Yes,NO,TRUE,
12 February,13:30,Yes,NO,False ,
13 February,,,,,
14 February,15:30,YES,YES,TRUE,
15 February,,,,,
16 February,10:30,YES,NO,TRUE,
17 February,,,,,
18 February,,,,,
19 February,0:30,YES,NO,FALSE,
20 February,,,,,
21 February,4:30,YES,-,TRUE,
22 February,11:30,YES,YES,TRUE,
23 February,,,,,
24 February,12:30,YES,NO ,TRUE,
25 February,,,,,
26 February,,,,,
27 February,11:30,Yes,NO,TRUE,
28 February,6:30,Yes,NO,TRUE,
,,,,,8
,,,,,
,,,,,
,,,,,64