Call Center flow ,,Status ,Progress (%),Comment
Assign access to  User for call center ,Assign a user to branch so that he can manage the call center ,DONE,100%,
Call center option on the top of the ARCs software in each screen ,,DONE,100%,
Setup of the Agora in ARC softoware ,,DONE,100%,
Setup of the Agora in Kiosk for Video calling ,,DONE,100%,
Setup of the Agora in Patient for Audio Calling ,,DONE,100%,
"Call center person after accepting the call can be redirent to any screen in ARC software eg. zoom , google chat ",,DONE,100%,
call popup,call popup will be having the patient name calling from kiosk or Patint app ,DONE,100%,
Call routing  ,Call should go to right call center person who is assigned fot the perticular branch ,IN PROGRESS,95%,
Call queuing ,"Call should do to queue of the call center person for the perticular branch is busy. 
call center person would be able to see the call in queue for the respecitve Queue ",DONE,100%,
Call cancel ,Patient initated calls can get canceled with the auto generated message that will go to patient app ,DONE,100%,
Kiosk call cancel ,Kioak call can not be cancel ,IN PROGRESS,100%,
Patinet app AI popup ,there will be a chat where some question and answer will be static saved and it will provide the answers ,,0%,Pending from Application End
Call center should get the notification ,Call center should get the push notification in all the browsers ,,,
Call center accesses employee should be able to get the call from any screen ,,,,